OID_,Region,GMUvalue,Unit,UnitSub,Major,MinorSpecific,UCU,GeoDetail,sqmiwater,Shape_Length,Shape_Area
245,1,1,01,01C,X29,2603,01CX292603,6,11.7771826,35389.879630238727259,30502762.699218750000000
246,1,1,01,01C,X29,2604,01CX292604,6,4.0268946,30864.711154147851630,10429608.539062500000000
247,1,1,01,01C,X29,2606,01CX292606,6,0.3228115,4950.563140734918306,836078.031250000000000
248,1,1,01,01C,X29,2607,01CX292607,6,42.9115906,58101.542366192130430,111140509.937500000000000
249,1,1,01,01C,X29,2608,01CX292608,6,14.3704786,33805.483847132527444,37219368.464843750000000
250,1,1,01,01C,X29,2609,01CX292609,6,44.3342400,113038.326612706863671,114825155.035131245851517
251,1,1,01,01C,X29,2701,01CX292701,6,38.5029678,55824.597040653585282,99722227.976587504148483
252,1,1,01,01C,X29,2702,01CX292702,6,5.9088984,18429.085407852384378,15303976.875000000000000
253,1,1,01,01C,X29,2703,01CX292703,6,3.2995982,33387.752850255295925,8545920.445312500000000
254,1,1,01,01C,X29,2705,01CX292705,6,4.6002378,43980.005033576308051,11914560.761718750000000
255,1,1,01,01C,X29,2706,01CX292706,6,4.5778842,39954.172182199414237,11856666.242187500000000
256,1,1,01,01C,X29,2707,01CX292707,6,6.9766226,28669.801272272721690,18069369.500000000000000
257,1,1,01,01C,X29,2708,01CX292708,6,57.8336220,81156.793230203446001,149788394.683593750000000
258,1,1,01,01C,X29,2709,01CX292709,6,40.7120094,62639.915704918552365,105443619.234375000000000
259,1,1,01,01D,X21,0101,01DX210101,6,27.1725636,92103.569007263460662,70376616.373981237411499
260,1,1,01,01D,X43,0201,01DX430201,6,8.0245543,27166.481320857317769,20783499.887268994003534
261,1,1,01,01D,X43,0202,01DX430202,6,13.7395363,43204.018406090595818,35585235.554687500000000
262,1,1,01,01D,X43,0203,01DX430203,6,4.8791718,28114.621457650417142,12636997.414062500000000
263,1,1,01,01D,X43,0210,01DX430210,6,4.3932939,26099.378530471269187,11378578.729346331208944
264,1,1,01,01D,X43,0401,01DX430401,6,56.3486900,149488.943666874198243,145942435.992601513862610
265,1,1,01,01D,X44,0501,01DX440501,6,9.1223230,34266.988240023369144,23626708.105185955762863
266,1,1,01,01D,X44,0503,01DX440503,6,2.2892673,17283.826971124690317,5929175.086056249216199
267,1,1,01,01D,X44,0505,01DX440505,6,8.2345276,54420.973794425190135,21327327.714843750000000
268,1,1,01,01D,X44,0601,01DX440601,6,1.2790214,18022.279537570691900,3312650.128906250000000
269,1,1,01,01D,X44,0701,01DX440701,6,6.8357582,24476.870598288271140,17704532.609375000000000
270,1,1,01,01D,X44,0702,01DX440702,6,4.2110476,29197.449394887295057,10906563.804687500000000
271,1,1,01,01D,X44,0703,01DX440703,6,0.0004460,149.966717186028859,1155.136718750000000
272,1,1,01,01D,X44,0706,01DX440706,6,1.8791996,14816.366112018320564,4867104.585937500000000
273,1,1,01,01D,X44,0801,01DX440801,6,9.6041079,32608.175009789276373,24874525.359375000000000
274,1,1,01,01D,X44,0802,01DX440802,6,9.8879709,29542.393267684019520,25609726.750000000000000
